City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
353,chimoio,20,MZ,1616048211,73,-19.1164,33.4833,77,1.19
354,kaset sombun,55,TH,1616048212,30,16.2805,101.9542,96.91,3.38
355,moindou,75,NC,1616048212,78,-21.6924,165.677,78.8,16.11
356,acari,89,PE,1616048212,81,-15.4311,-74.6158,73,2.82
357,ouadda,99,CF,1616048213,81,8.0777,22.4007,71.08,8.16
358,tamsweg,66,AT,1616048213,75,47.1281,13.811,23,4.74
359,whitehorse,90,CA,1616048214,86,60.7161,-135.0538,28.4,13.8
360,ancud,0,CL,1616048063,81,-41.8697,-73.8203,48,4.61
361,manokwari,88,ID,1616048214,75,-0.8667,134.0833,82.33,2.66
362,viedma,88,AR,1616048215,61,-40.8135,-62.9967,53.42,1.66
363,waingapu,91,ID,1616048215,75,-9.6567,120.2641,85.48,9.24
364,saint george,1,US,1616048216,66,37.1041,-113.5841,53.01,1.83
365,shahrud,94,IR,1616048216,46,36.4182,54.9763,58.93,9.55
366,parga,40,GR,1616048217,93,39.2831,20.3964,42.8,5.75
367,aswan,0,EG,1616048214,18,24.0934,32.907,70.56,16.17
368,drovyanaya,40,RU,1616048218,42,51.5833,113.0333,23,7.16
369,rocha,89,UY,1616048218,87,-34.4833,-54.3333,62.28,12.73
370,nunchia,95,CO,1616048219,76,5.6406,-72.1986,73.09,3.83
371,nova vcelnice,94,CZ,1616048219,88,49.2393,15.0726,30,6.91
372,hami,100,CN,1616048220,46,42.8,93.45,41.68,8.97
373,lamar,90,US,1616048220,70,33.6668,-95.5836,45,21.85
374,nosy varika,93,MG,1616048220,78,-20.5833,48.5333,77.65,4.29
375,kalaiya,24,NP,1616048221,11,27.0327,85.0022,92.75,7.94
376,nizwa,20,OM,1616048221,16,22.9333,57.5333,88.03,5.5
377,abha,0,SA,1616048222,13,18.2164,42.5053,73.4,6.91
378,inta,100,RU,1616048222,94,66.0317,60.1659,21.02,7.47
379,nevsehir,90,TR,1616048223,100,38.9167,34.6667,32,4.61
380,san juan,100,AR,1616048224,85,-31.5375,-68.5364,53.4,10.76
381,linxi,75,CN,1616048224,31,39.7,118.4333,53.62,7.38
382,barstow,1,US,1616048224,28,34.8986,-117.0228,57.2,8.05
383,lukulu,94,ZM,1616048225,91,-14.3707,23.242,67.35,3.94
384,dabat,88,ET,1616048226,32,12.9842,37.765,66.58,6.29
385,tshikapa,88,CD,1616048226,87,-6.4167,20.8,72.05,0.67
386,baiquan,2,CN,1616048226,25,47.5833,126.0833,39.63,5.77
387,ndago,100,TZ,1616048227,71,-4.6,34.35,67.98,3.87
388,rudbar,0,AF,1616048227,10,30.15,62.6,84.65,7.25
389,muros,60,ES,1616048199,82,42.7762,-9.0603,44.01,1.01
390,mbamba,51,NG,1616048228,17,9.9833,13.1,76.26,2.33
391,christchurch,0,NZ,1616047930,58,-43.5333,172.6333,59,16.11
392,isangel,75,VU,1616048157,74,-19.55,169.2667,84.2,14.83
393,vilhena,100,BR,1616048230,98,-12.7406,-60.1458,68.58,1.45
394,olafsvik,100,IS,1616048118,96,64.8945,-23.7142,44.71,23.82
395,dukat,0,RU,1616048230,88,62.55,155.55,-3.35,2.73
396,lethem,2,GY,1616048231,73,3.3803,-59.7968,76.1,11.59
397,walvis bay,40,NA,1616048231,77,-22.9575,14.5053,61,6.91
398,avera,90,US,1616048125,95,33.194,-82.5271,64.4,11.5
399,conway,2,US,1616048202,76,35.0887,-92.4421,55,4
400,borogontsy,13,RU,1616047936,79,62.6683,131.1683,5.09,8.43
